UUID,Date_Local,Time_Local,AGE_BL,ANG_ES,ANX_ES,EMB_ES,GENDER_BL,GUIL_ES,SAD_ES,SUPR_ES,dataset
d4e35a90-bc95-4aba-b09e-8e40c161e683,6/09/2015,9:00:00,18,4.0,18.0,3.0,2,25.0,15.0,20.0,ACU emotions in daily life
d4e35a90-bc95-4aba-b09e-8e40c161e683,6/09/2015,10:39:00,18,12.0,5.0,0.0,2,10.0,9.0,8.0,ACU emotions in daily life
d4e35a90-bc95-4aba-b09e-8e40c161e683,6/09/2015,12:15:00,18,25.0,22.0,13.0,2,14.0,19.0,19.0,ACU emotions in daily life
d4e35a90-bc95-4aba-b09e-8e40c161e683,6/09/2015,13:49:00,18,15.0,9.0,11.0,2,7.0,14.0,27.0,ACU emotions in daily life
d4e35a90-bc95-4aba-b09e-8e40c161e683,6/09/2015,15:21:00,18,17.0,1.0,2.0,2,0.0,14.0,35.0,ACU emotions in daily life
d4e35a90-bc95-4aba-b09e-8e40c161e683,6/09/2015,16:33:00,18,0.0,13.0,19.0,2,3.0,20.0,6.0,ACU emotions in daily life
d4e35a90-bc95-4aba-b09e-8e40c161e683,6/09/2015,17:57:00,18,26.0,9.0,15.0,2,11.0,12.0,3.0,ACU emotions in daily life
d4e35a90-bc95-4aba-b09e-8e40c161e683,6/09/2015,19:37:00,18,12.0,30.0,37.0,2,30.0,33.0,29.0,ACU emotions in daily life
d4e35a90-bc95-4aba-b09e-8e40c161e683,6/09/2015,20:25:00,18,13.0,9.0,16.0,2,19.0,18.0,75.0,ACU emotions in daily life
d4e35a90-bc95-4aba-b09e-8e40c161e683,7/09/2015,9:00:00,18,25.0,20.0,9.0,2,0.0,9.0,37.0,ACU emotions in daily life
d4e35a90-bc95-4aba-b09e-8e40c161e683,7/09/2015,10:03:00,18,28.0,21.0,8.0,2,30.0,17.0,18.0,ACU emotions in daily life
d4e35a90-bc95-4aba-b09e-8e40c161e683,7/09/2015,11:20:00,18,19.0,22.0,16.0,2,39.0,28.0,22.0,ACU emotions in daily life
d4e35a90-bc95-4aba-b09e-8e40c161e683,7/09/2015,12:49:00,18,19.0,64.0,59.0,2,68.0,41.0,24.0,ACU emotions in daily life
d4e35a90-bc95-4aba-b09e-8e40c161e683,7/09/2015,13:47:00,18,20.0,9.0,11.0,2,21.0,20.0,54.0,ACU emotions in daily life
d4e35a90-bc95-4aba-b09e-8e40c161e683,7/09/2015,15:07:00,18,16.0,25.0,35.0,2,24.0,25.0,70.0,ACU emotions in daily life
d4e35a90-bc95-4aba-b09e-8e40c161e683,7/09/2015,16:28:00,18,19.0,17.0,11.0,2,17.0,6.0,17.0,ACU emotions in daily life
d4e35a90-bc95-4aba-b09e-8e40c161e683,7/09/2015,17:56:00,18,13.0,12.0,19.0,2,25.0,20.0,22.0,ACU emotions in daily life
d4e35a90-bc95-4aba-b09e-8e40c161e683,7/09/2015,19:02:00,18,54.0,22.0,56.0,2,17.0,41.0,28.0,ACU emotions in daily life
d4e35a90-bc95-4aba-b09e-8e40c161e683,7/09/2015,20:23:00,18,16.0,13.0,21.0,2,15.0,16.0,11.0,ACU emotions in daily life
d4e35a90-bc95-4aba-b09e-8e40c161e683,8/09/2015,9:00:00,18,2.0,2.0,14.0,2,0.0,16.0,17.0,ACU emotions in daily life
d4e35a90-bc95-4aba-b09e-8e40c161e683,8/09/2015,10:22:00,18,27.0,30.0,9.0,2,36.0,24.0,65.0,ACU emotions in daily life
d4e35a90-bc95-4aba-b09e-8e40c161e683,8/09/2015,11:40:00,18,4.0,18.0,21.0,2,5.0,23.0,8.0,ACU emotions in daily life
d4e35a90-bc95-4aba-b09e-8e40c161e683,8/09/2015,12:42:00,18,20.0,11.0,13.0,2,38.0,18.0,34.0,ACU emotions in daily life
d4e35a90-bc95-4aba-b09e-8e40c161e683,8/09/2015,13:40:00,18,49.0,13.0,21.0,2,6.0,61.0,17.0,ACU emotions in daily life
d4e35a90-bc95-4aba-b09e-8e40c161e683,8/09/2015,14:55:00,18,8.0,11.0,22.0,2,14.0,15.0,5.0,ACU emotions in daily life
d4e35a90-bc95-4aba-b09e-8e40c161e683,8/09/2015,16:09:00,18,10.0,5.0,20.0,2,20.0,4.0,9.0,ACU emotions in daily life
d4e35a90-bc95-4aba-b09e-8e40c161e683,8/09/2015,17:47:00,18,16.0,6.0,7.0,2,12.0,64.0,64.0,ACU emotions in daily life
d4e35a90-bc95-4aba-b09e-8e40c161e683,8/09/2015,18:31:00,18,8.0,20.0,22.0,2,0.0,9.0,31.0,ACU emotions in daily life
d4e35a90-bc95-4aba-b09e-8e40c161e683,8/09/2015,19:24:00,18,14.0,14.0,25.0,2,11.0,0.0,41.0,ACU emotions in daily life
d4e35a90-bc95-4aba-b09e-8e40c161e683,8/09/2015,20:52:00,18,20.0,10.0,14.0,2,24.0,27.0,27.0,ACU emotions in daily life
d4e35a90-bc95-4aba-b09e-8e40c161e683,9/09/2015,9:00:00,18,27.0,13.0,28.0,2,6.0,17.0,18.0,ACU emotions in daily life
